Tyler Boyd,76,1028,7,21,1,49,54,0.711,0,0,108,2018
Amari Cooper,75,1005,7,10,3,126,53,0.7070000000000001,2,0,107,2018
Golden Tate,74,795,4,9,2,99,33,0.446,2,0,113,2018
Julian Edelman,74,850,6,12,0,36,41,0.5539999999999999,0,0,108,2018
Emmanuel Sanders,71,868,4,13,4,64,37,0.521,1,0,98,2018
Austin Hooper,71,660,4,7,0,36,30,0.423,0,0,88,2018
Tarik Cohen,71,725,5,9,3,70,29,0.408,1,0,91,2018
Kenny Golladay,70,1063,5,19,3,60,56,0.8,1,0,119,2018
Larry Fitzgerald,69,734,6,8,0,37,39,0.565,0,0,112,2018
Jalen Richard,68,607,0,5,0,32,23,0.33799999999999997,0,0,81,2018
Jared Cook,68,896,6,15,1,45,46,0.6759999999999999,0,0,101,2018
Taylor Gabriel,67,688,2,7,3,54,31,0.46299999999999997,1,0,93,2018
Dede Westbrook,66,717,5,15,1,61,38,0.5760000000000001,2,0,101,2018
Sterling Shepard,66,872,4,12,3,58,47,0.7120000000000001,0,0,107,2018
Mohamed Sanu,66,838,4,7,2,44,41,0.621,2,0,94,2018
Eric Ebron,66,750,13,7,1,53,39,0.591,0,0,110,2018
Alshon Jeffery,65,843,6,9,2,52,48,0.738,1,0,92,2018
Corey Davis,65,891,4,15,2,51,47,0.723,1,0,112,2018
Cole Beasley,65,672,3,3,0,32,39,0.6,0,0,87,2018
Kyle Rudolph,64,634,4,6,1,44,32,0.5,0,0,82,2018
Calvin Ridley,64,821,10,11,4,75,39,0.609,2,0,92,2018
Nelson Agholor,64,736,4,10,5,83,28,0.43799999999999994,1,0,97,2018
Jordy Nelson,63,739,3,7,3,66,36,0.5710000000000001,0,0,88,2018
Nyheim Hines,63,425,2,3,0,28,29,0.46,0,0,81,2018
Willie Snead,62,651,1,5,0,28,37,0.597,0,0,95,2018
Theo Riddick,61,384,0,1,0,20,16,0.262,0,0,74,2018
Demaryius Thomas,59,677,5,9,2,76,37,0.627,0,0,89,2018
Dion Lewis,59,400,1,3,0,37,13,0.22,0,0,67,2018
Todd Gurley,59,580,4,5,1,56,26,0.441,1,0,81,2018
Chris Godwin,59,842,7,10,1,48,48,0.8140000000000001,4,0,95,2018
Danny Amendola,59,575,1,4,0,39,27,0.45799999999999996,0,0,79,2018
Tyler Lockett,57,965,10,17,6,52,37,0.649,1,0,70,2018
David Njoku,56,639,4,9,2,66,27,0.48200000000000004,0,0,88,2018
Zay Jones,56,652,7,7,1,57,33,0.589,1,0,102,2018
T.J. Yeldon,55,487,4,4,0,37,21,0.382,0,0,78,2018
Allen Robinson,55,754,4,11,1,43,36,0.655,1,0,94,2018
D.J. Moore,55,788,2,9,3,82,33,0.6,1,0,82,2018
Jimmy Graham,55,636,2,7,1,54,32,0.5820000000000001,0,0,89,2018
James Conner,55,497,1,5,0,29,20,0.364,1,0,71,2018
Jordan Reed,54,558,2,7,0,34,26,0.48100000000000004,1,0,84,2018
Michael Crabtree,54,607,3,6,0,27,35,0.648,0,0,100,2018
Trey Burton,54,569,6,7,1,47,29,0.537,1,0,76,2018
Chester Rogers,53,485,2,5,0,34,28,0.528,0,0,72,2018
Kenyan Drake,53,477,5,4,1,52,23,0.434,0,0,73,2018
Vance McDonald,50,610,4,6,2,75,33,0.66,2,0,72,2018
David Johnson,50,446,3,6,1,40,22,0.44,1,0,76,2018
Melvin Gordon,50,490,4,5,1,66,21,0.42,1,0,66,2018
Doug Baldwin,50,618,5,9,2,42,32,0.64,0,0,73,2018
Robby Anderson,50,752,6,10,2,76,30,0.6,2,0,94,2018
Donte Moncrief,48,668,3,7,2,80,28,0.583,1,0,89,2018
Jarvis Landry,112,987,9,6,1,49,60,0.536,3,0,160,2017
Larry Fitzgerald,109,1156,6,16,0,37,66,0.606,1,0,162,2017
Michael Thomas,104,1245,5,22,1,43,70,0.6729999999999999,0,0,149,2017
Keenan Allen,102,1393,6,18,4,51,74,0.725,1,0,159,2017
Antonio Brown,101,1533,9,27,7,57,71,0.703,3,0,162,2017
DeAndre Hopkins,96,1378,13,24,2,72,69,0.7190000000000001,1,0,176,2017
Golden Tate,92,1003,5,10,3,71,44,0.478,1,0,122,2017
Adam Thielen,91,1276,4,20,5,65,59,0.648,3,0,143,2017
Julio Jones,88,1444,3,23,4,53,67,0.7609999999999999,0,0,149,2017
Le'Veon Bell,85,655,2,5,1,42,31,0.365,1,0,107,2017
Demaryius Thomas,83,949,5,15,1,40,53,0.639,1,0,141,2017
Travis Kelce,83,1038,8,19,1,44,55,0.6629999999999999,0,0,123,2017
Alvin Kamara,81,826,5,11,1,40,38,0.469,0,0,100,2017
Christian McCaffrey,80,651,5,7,0,37,36,0.45,0,0,113,2017
Jack Doyle,80,690,4,4,0,26,34,0.425,2,0,107,2017
Tyreek Hill,75,1183,7,15,9,79,41,0.547,0,0,105,2017
A.J. Green,75,1078,8,9,4,77,55,0.733,2,0,145,2017
Doug Baldwin,75,991,8,18,3,54,44,0.5870000000000001,0,0,117,2017
Delanie Walker,74,807,3,9,1,42,43,0.581,2,0,111,2017
Duke Johnson,74,693,3,9,1,41,31,0.419,2,0,93,2017
Zach Ertz,74,824,8,7,2,53,46,0.622,1,0,110,2017
Davante Adams,74,885,10,8,3,55,45,0.608,0,0,117,2017
Mike Evans,71,1001,5,9,2,42,55,0.775,1,0,135,2017
Rob Gronkowski,69,1084,8,18,2,53,57,0.826,1,0,106,2017
Dez Bryant,69,838,6,8,2,50,44,0.638,1,0,133,2017
Mohamed Sanu,67,703,5,10,0,25,41,0.612,0,0,97,2017
Jamison Crowder,66,789,3,12,1,41,37,0.561,1,0,104,2017
Randall Cobb,66,653,4,7,1,46,29,0.439,1,0,91,2017
Jermaine Kearse,65,810,5,9,4,51,37,0.569,1,0,103,2017
Brandin Cooks,65,1082,7,18,7,64,42,0.6459999999999999,0,0,114,2017
Todd Gurley,64,788,6,12,4,80,32,0.5,0,0,87,2017
