Tamba Hali,4,2,1,2013
Carlos Dunlap,4,1,0,2013
NaVorro Bowman,4,2,0,2013
John Abraham,4,0,0,2013
Charles Woodson,3,2,1,2013
Osi Umenyiora,3,0,0,2013
Danny Trevathan,3,1,0,2013
Charles Tillman,3,0,0,2013
Nick Perry,3,0,0,2013
William Moore,3,2,0,2013
Von Miller,3,1,1,2013
Clay Matthews,3,0,0,2013
Tim Jennings,3,1,0,2013
Duke Ihenacho,3,2,0,2013
DeAngelo Hall,3,1,1,2013
Trent Cole,3,0,0,2013
Charles Tillman,10,2,0,2012
Charles Johnson,7,1,0,2012
Von Miller,6,0,0,2012
Elvis Dumervil,6,0,0,2012
John Abraham,6,0,0,2012
DeMarcus Ware,5,1,0,2012
Brandon Spikes,5,0,0,2012
Rob Ninkovich,5,4,0,2012
J.J. Watt,4,2,0,2012
Jamarca Sanford,4,1,0,2012
Quintin Mikell,4,0,0,2012
Jerod Mayo,4,1,0,2012
LaRon Landry,4,0,0,2012
Carlos Dunlap,4,3,0,2012
Jairus Byrd,4,2,0,2012
Chase Blackburn,4,0,0,2012
Jason Babin,4,1,0,2012
Geno Atkins,4,0,0,2012
Josh Wilson,3,2,1,2012
Muhammad Wilkerson,3,1,1,2012
T.J. Ward,3,0,0,2012
Cameron Wake,3,0,0,2012
Sean Smith,3,0,0,2012
Aldon Smith,3,0,0,2012
Richard Sherman,3,1,0,2012
Brian Robison,3,1,0,2012
Danieal Manning,3,1,0,2012
Cameron Jordan,3,2,0,2012
Chandler Jones,3,0,0,2012
Derrick Johnson,3,0,0,2012
Stephon Gilmore,3,0,0,2012
William Gay,3,1,0,2012
Chris Clemons,3,1,0,2012
Brandon Browner,3,1,0,2012
Jasper Brinkley,3,0,0,2012
Michael Bennett,3,0,0,2012
Nick Barnett,3,0,0,2012
Cortez Allen,3,1,0,2012
Corey Wootton,2,0,0,2012
Patrick Willis,2,1,0,2012
Mario Williams,2,2,0,2012
Vince Wilfork,2,4,0,2012
Donte Whitner,2,1,0,2012
Philip Wheeler,2,1,0,2012
Eric Weddle,2,0,0,2012
Daryl Washington,2,1,0,2012
Brian Urlacher,2,2,0,2012
Osi Umenyiora,2,0,0,2012
Lawrence Timmons,2,1,0,2012
Juqua Parker,2,1,0,2012
